나라명,화폐단위
아랍에미리트,AED
아프가니스탄,AFN
알바니아,ALL
아르메니아,AMD
앙골라,AOA
아르헨티나,ARS
나우루,AUD
노퍽섬,AUD
오스트레일리아,AUD
코코스 제도,AUD
크리스마스섬,AUD
키리바시,AUD
투발루,AUD
허드 맥도널드 제도,AUD
아루바,AWG
아제르바이잔,AZN
보스니아 헤르체고비나,BAM
바베이도스,BBD
방글라데시,BDT
바레인,BHD
부룬디,BIF
버뮤다,BMD
브루나이,BND
볼리비아,BOB
브라질,BRL
바하마,BSD
부탄,BTN
보츠와나,BWP
벨라루스,BYN
벨리즈,BZD
캐나다,CAD
콩고-킨샤사,CDF
리히텐슈타인,CHF
스위스,CHF
칠레,CLP
중국,CNY
콜롬비아,COP
코스타리카,CRC
쿠바,CUP
카보베르데,CVE
체코,CZK
지부티,DJF
그린란드,DKK
덴마크,DKK
페로 제도,DKK
도미니카 공화국,DOP
알제리,DZD
이집트,EGP
에리트리아,ERN
에티오피아,ETB
과들루프,EUR
그리스,EUR
네덜란드,EUR
독일,EUR
라트비아,EUR
레위니옹,EUR
룩셈부르크,EUR
리투아니아,EUR
마르티니크,EUR
마요트,EUR
모나코,EUR
몬테네그로,EUR
몰타,EUR
바티칸 시국,EUR
벨기에,EUR
불가리아,EUR
산마리노,EUR
생마르탱,EUR
생바르텔레미,EUR
생피에르 미클롱,EUR
스페인,EUR
슬로바키아,EUR
슬로베니아,EUR
아일랜드,EUR
안도라,EUR
에스토니아,EUR
오스트리아,EUR
올란드 제도,EUR
이탈리아,EUR
크로아티아,EUR
키프로스,EUR
포르투갈,EUR
프랑스,EUR
프랑스령 기아나,EUR
프랑스령 남방 지역,EUR
핀란드,EUR
피지,FJD
포클랜드 제도,FKP
건지,GBP
맨섬,GBP
영국,GBP
저지,GBP
조지아,GEL
가나,GHS
지브롤터,GIP
감비아,GMD
기니,GNF
과테말라,GTQ
가이아나,GYD
홍콩(중국 특별행정구),HKD
온두라스,HNL
아이티,HTG
헝가리,HUF
인도네시아,IDR
이스라엘,ILS
부탄,INR
인도,INR
이라크,IQD
이란,IRR
아이슬란드,ISK
자메이카,JMD
요르단,JOD
일본,JPY
케냐,KES
키르기스스탄,KGS
캄보디아,KHR
코모로,KMF
북한,KPW
대한민국,KRW
쿠웨이트,KWD
케이맨 제도,KYD
카자흐스탄,KZT
라오스,LAK
레바논,LBP
스리랑카,LKR
라이베리아,LRD
레소토,LSL
리비아,LYD
모로코,MAD
서사하라,MAD
몰도바,MDL
마다가스카르,MGA
북마케도니아,MKD
미얀마,MMK
몽골,MNT
마카오(중국 특별행정구),MOP
모리타니,MRU
모리셔스,MUR
몰디브,MVR
말라위,MWK
멕시코,MXN
말레이시아,MYR
모잠비크,MZN
나이지리아,NGN
니카라과,NIO
노르웨이,NOK
부베섬,NOK
스발바르제도-얀마웬섬,NOK
네팔,NPR
뉴질랜드,NZD
니우에,NZD
쿡 제도,NZD
토켈라우,NZD
핏케언 제도,NZD
오만,OMR
파나마,PAB
페루,PEN
파푸아뉴기니,PGK
필리핀,PHP
파키스탄,PKR
폴란드,PLN
파라과이,PYG
카타르,QAR
루마니아,RON
세르비아,RSD
러시아,RUB
르완다,RWF
사우디아라비아,SAR
솔로몬 제도,SBD
세이셸,SCR
수단,SDG
스웨덴,SEK
싱가포르,SGD
세인트헬레나,SHP
시에라리온,SLE
소말리아,SOS
수리남,SRD
남수단,SSP
상투메 프린시페,STN
엘살바도르,SVC
시리아,SYP
에스와티니,SZL
태국,THB
타지키스탄,TJS
투르크메니스탄,TMT
튀니지,TND
통가,TOP
튀르키예,TRY
트리니다드 토바고,TTD
대만,TWD
탄자니아,TZS
우크라이나,UAH
우간다,UGX
괌,USD
네덜란드령 카리브,USD
동티모르,USD
마셜 제도,USD
미국,USD
미국령 버진아일랜드,USD
미국령 해외 제도,USD
미크로네시아,USD
북마리아나제도,USD
아메리칸 사모아,USD
아이티,USD
에콰도르,USD
엘살바도르,USD
영국령 버진아일랜드,USD
영국령 인도양 지역,USD
터크스 케이커스 제도,USD
파나마,USD
팔라우,USD
푸에르토리코,USD
우루과이,UYU
우루과이,UYW
우즈베키스탄,UZS
베네수엘라,VED
베네수엘라,VES
베트남,VND
바누아투,VUV
사모아,WST
가봉,XAF
적도 기니,XAF
중앙 아프리카 공화국,XAF
차드,XAF
카메룬,XAF
콩고-브라자빌,XAF
그레나다,XCD
도미니카,XCD
몬트세라트,XCD
세인트루시아,XCD
세인트빈센트그레나딘,XCD
세인트키츠 네비스,XCD
앤티가 바부다,XCD
앵귈라,XCD
신트마르턴,XCG
퀴라소,XCG
기니비사우,XOF
니제르,XOF
말리,XOF
베냉,XOF
부르키나파소,XOF
세네갈,XOF
코트디부아르,XOF
토고,XOF
뉴칼레도니아,XPF
왈리스-푸투나 제도,XPF
프랑스령 폴리네시아,XPF
예멘,YER
남아프리카,ZAR
레소토,ZAR
잠비아,ZMW
짐바브웨,ZWG
